CustomerID,FirstName,LastName,Gender,Region,SSN
C0001,Gregory,Miller,M,Ohho,082573197
C0002,Marvin,,male,california,309-6256-21
C0003,Gregory,Smith,Male,New Yorkk,407071725
C0004,Edward,Davis,male,Ohho,948.18.5740
C0005,Reginald,Dawson,male,Texas,975.72.3056
C0006,Virginia,Bryant,Female,Ohio,981/72/7452
C0007,Benjamin,Shepherd,Male,Ohho,048008736
C0008,Robert,Pierce,Male,New York,009/01/2352
C0009,Samuel,Mcconnell,male,Californiya,007-3486-87
C0010,Jason,,Male,NY,785/76/9341
C0011,Jason,Morales,male,,325-2353-01
C0012,Charles,,Male,New York,239.14.0962
C0013,Brandon,,M,Ohio,573-3595-11
C0014,Jeffery,Cabrera,M,New Yorkk,705.13.1809
C0015,William,Gonzalez,male,New York,058-13-1272
C0016,Joe,Barnett,M,Ohho,995/87/4707
C0017,Angela,Cantrell,Female,Texas,648-61-0422
C0018,Mariah,Wilson,F,NY,108/82/5602
C0019,Michael,,male,New Yorkk,018-10-5442
C0020,Robert,,Male,NY,029-4166-39
C0021,Rachel,,Female,Nw York,453-6622-48
C0022,Timothy,,M,Texas,239-01-2990
C0023,Grant,Bartlett,male,Ohio,914-9819-50
C0024,Luis,Roberts,Male,NY,763990480
C0025,Jordan,Mercado,male,Texaz,765370466
C0026,Jesse,Wilkerson,male,NY,929/20/0753
C0027,Brandon,Smith,male,New Yorkk,614443050
C0028,William,Smith,male,Californiya,497/91/9481
C0029,Timothy,,male,Ohho,916.67.4499
C0030,Desiree,Washington,Female,Ohio,408-46-8745
C0031,Steven,Morgan,M,Ohho,701763121
C0032,Joshua,Carson,male,NY,568-92-0245
C0033,Joshua,Robinson,M,Nw York,047014271
C0034,Paula,Hanson,F,Ohio,081/07/9840
C0035,Joshua,Sullivan,M,Texaz,904.58.8403
C0036,Lori,Long,Female,Californiya,017-5322-19
C0037,Brett,,Male,,890898446
C0038,Jose,Griffin,male,california,209/80/2253
C0039,John,Mendoza,male,Nw York,490-4888-96
C0040,Yvette,Wood,female,Ohho,367-78-2663
C0041,Michael,Stephens,M,Nw York,936-93-1355
C0042,Steven,Farley,Male,Texaz,184/60/5366
C0043,Rachel,,female,New York,419/85/0542
C0044,James,Robbins,male,Nw York,461-34-7072
C0045,Andrew,Hopkins,Male,Nw York,863-15-2583
C0046,Dennis,,Male,Californiya,573/90/4617
C0047,Seth,Hess,Male,Texas,075643618
C0048,Frank,Ross,M,Ohho,466.83.1539
C0049,Jeffrey,,M,Texaz,987/35/8591
C0050,Kimberly,Wright,female,Nw York,556/57/7221
C0051,David,,Male,,709.24.5509
C0052,Todd,Kelley,M,New York,111-35-6646
C0053,Ian,Schneider,M,Nw York,174630010
C0054,Christopher,White,Male,california,356.84.9560
C0055,Jonathan,Thomas,M,New Yorkk,699-0156-58
C0056,Sonia,Vaughn,female,Californiya,906-9403-74
C0057,Brian,Price,M,Ohho,857/37/7811
C0058,Steven,Miller,Male,Texaz,097-6290-75
C0059,Eric,Hoffman,Male,california,696/48/3718
C0060,Jonathan,,male,New York,054.34.9385
C0061,Gary,Nunez,male,Nw York,140/20/8506
C0062,Mark,Adams,male,Texaz,550-55-0046
C0063,Latoya,,female,Ohho,575-57-9346
C0064,Jason,,M,,051/16/0222
C0065,Anthony,Butler,M,Ohho,816-77-4692
C0066,Thomas,Kelly,M,california,951.13.3429
C0067,Eric,Morris,male,NY,192-18-1825
C0068,John,,M,,866-81-0493
C0069,David,Hardy,Male,Californiya,133-1820-60
C0070,Kevin,Franklin,M,New York,632496047
C0071,Charles,Warren,male,Texas,515-65-1928
C0072,Eric,Mora,M,Californiya,458923106
C0073,Vincent,,M,NY,129128820
C0074,Roberto,,M,Nw York,363-76-4583
C0075,Troy,Garcia,Male,NY,977/03/9472
C0076,James,Clark,M,Texaz,430-92-2347
C0077,John,Johnson,male,,747-8226-62
C0078,Caleb,Ramirez,M,NY,301728783
C0079,Timothy,,Male,New York,410/56/1810
C0080,Ian,Fowler,male,,558-15-0115
C0081,Ryan,Pearson,Male,Californiya,674718631
C0082,Samuel,Lopez,Male,Ohho,945-93-6644
C0083,Antonio,,Male,Texas,510-56-7460
C0084,Michael,Brooks,M,Ohho,119-91-7665
C0085,Lindsay,Roberts,female,Ohio,815/63/1005
C0086,Robert,,M,Ohho,094-07-1577
C0087,John,,M,Californiya,263-34-6589
C0088,William,,M,Ohio,622.41.1761
C0089,Anthony,Lin,Male,New York,231-34-6985
C0090,Jeremy,Williams,male,NY,638708215
C0091,Anna,,female,Texas,551/20/3013
C0092,Antonio,,male,Ohio,056245826
C0093,Samuel,Woods,M,Ohho,498/10/5868
C0094,Darren,Woods,Male,Texaz,301.92.4330
C0095,Paul,Reed,male,Texaz,378-8854-80
C0096,Christina,Brown,F,Californiya,869-8672-31
C0097,Anthony,Watts,M,Texas,620/44/5794
C0098,Cassandra,Jones,Female,New Yorkk,149340457
C0099,Corey,Valentine,M,Californiya,940/17/7867
C0100,Vernon,Morrow,M,Texaz,719/37/8837
C0101,Robert,Johnson,male,Ohio,040-6106-97
C0102,Dennis,Dominguez,male,New York,550/01/1030
C0103,Michael,,M,california,696/54/6354
C0104,Stanley,Martin,Male,Nw York,842.67.0625
C0105,David,Vance,male,New York,343-0309-22
C0106,Jason,Abbott,Male,Texas,636/18/1643
C0107,Christine,Ellis,F,New Yorkk,634157903
C0108,Edwin,Burgess,M,New York,078/39/8291
C0109,Caleb,Long,male,,580/78/2929
C0110,Megan,Miller,F,Ohio,898-14-6425
C0111,Brett,,M,Texaz,125/91/7939
C0112,Tyrone,Bell,Male,Californiya,753-05-5870
C0113,Fernando,Martinez,male,Californiya,913-0392-42
C0114,Tyrone,Brown,M,Texaz,333-4677-11
C0115,William,Branch,Male,New York,008.41.7074
C0116,Richard,,M,Californiya,358.34.4223
C0117,Donald,Terrell,male,Californiya,207-88-9507
C0118,Joseph,Morgan,male,Ohho,153-1650-24
C0119,Johnny,,M,california,165.62.2040
C0120,Roger,,M,Californiya,562976885
C0121,Melissa,Dominguez,female,New Yorkk,177/76/4159
C0122,Dustin,Cook,male,Ohio,248.48.6801
C0123,Rebecca,Armstrong,female,Ohho,624.66.3469
C0124,Gabriel,,M,Nw York,175915578
C0125,Christopher,Green,Male,Californiya,328058594
C0126,Keith,Oneal,Male,Californiya,275.56.4906
C0127,Frank,Turner,Male,,817-84-4697
C0128,Tina,,Female,Ohio,387/15/2762
C0129,Gregory,Neal,M,Texaz,654553785
C0130,Ronald,,M,Ohho,622/83/6352
C0131,Daniel,,Male,NY,378424172
C0132,Ryan,Stephens,M,,198-5941-83
C0133,Kevin,,Male,,294/23/8712
C0134,Cole,Nelson,Male,california,677-4317-21
C0135,William,Watkins,M,Texas,532-1241-44
C0136,Crystal,Floyd,Female,Nw York,168-52-8691
C0137,Nicole,,F,Nw York,297.91.0856
C0138,William,Boone,male,,499-81-2161
C0139,Robert,Cook,male,Texas,615.11.2555
C0140,Cesar,Wise,Male,NY,203-69-9425
C0141,Douglas,Miller,Male,Ohio,964/33/8007
C0142,Travis,Johnson,male,Californiya,508-54-8337
C0143,Sydney,Fisher,female,Nw York,706854753
C0144,Clifford,,male,Texas,343/87/7021
C0145,Aaron,,male,Texaz,523/68/1709
C0146,Zachary,,male,Ohio,608-6876-51
C0147,Christopher,Hall,Male,Californiya,200/46/6014
C0148,Matthew,,Male,Californiya,099/89/5098
C0149,Robert,Adkins,Male,New York,868-36-4514
C0150,Jon,Cohen,M,california,635-23-8437
C0151,Matthew,Walter,M,,649/41/9497
C0152,Steven,,Male,Texaz,985/71/5518
C0153,Gregory,Krueger,M,Californiya,274.65.4231
C0154,Andrew,,M,Texaz,709/37/6129
C0155,Amanda,Browning,female,Texas,000.80.2922
C0156,Derrick,Bennett,Male,NY,333070492
C0157,John,,M,Nw York,905-21-5215
C0158,Jeffrey,Harris,male,Nw York,470/86/8400
C0159,Alexander,,male,New York,601802494
C0160,Amy,Cruz,female,Texaz,130/29/5709
C0161,Justin,Williams,M,,780-84-0007
